C.Power Supply Position in States,,,,,,,,Date
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.14
"D. Transnational Exchanges (MU) - Import(+ve)/Export(-ve)
Bhutan Nepal Bangladesh
Actual(MU) 1.7 -7.0 -12.3
Day peak (MW) 95.2 -309.0 -787.0
E. Import/export By Regions(in MU) - Import(+ve)/Export(-ve); OD(+)/UD(-)
NR WR SR ER NER TOTAL
Schedule(MU) 151.5 -177.1 101.5 -78.6 3.2 0.5
Actual(MU) 143.9 -181.5 99.0 -68.9 3.9 -3.7
O/D/U/D(MU) -7.6 -4.5 -2.5 9.7 0.7 -4.2
F. Generation Outage(MW)
NR WR SR ER NER Total
Central Sector 4793 16861 7262 1720 306 30941
State Sector 9585 13809 9060 5205 50 37709
Total 14378 30670 16322 6925 356 68650
G. Sourcewise generation (MU)
NR WR SR ER NER All India
Coal 578 1108 478 418 5 2587
Lignite 22 19 51 0 0 92
Hydro 117 28 71 30 8 254
Nuclear 24 19 36 0 0 80
Gas, Naptha & Diesel 32 42 22 0 29 125
RES (Wind, Solar, Biomass & Others) 60 61 150 1 0 273
Total 833 1277 809 449 42 3411
Share of RES in total generation (%) 7.20 4.81 18.59 0.20 0.12 8.00
Share of Non-fossil fuel (Hydro, Nuclear and
24.16 8.49 31.87 6.91 19.43 17.79
RES) in total generation (%)
H. Diversity Factor
All India Demand Diversity Factor 1.032
Diversity factor = Sum of regional maximum demands / All India maximum demand
*Source: RLDCs for solar connected to ISTS; SLDCs for embedded solar. Limited visibility of embedded solar data.
काययपािक सनिेशक (रा० भा० प्रे० के०)",,,,,,,,,01.01.19
Region,FVI,<49.7,49.7-49.8,49.8-49.9,<49.9,49.9-50.05,> 50.05,,01.01.20
All India,0.053,0.00,1.98,10.72,12.70,73.23,14.07,,01.01.20
C. Power Supply Position in States,,,,,,,,,01.01.20
Region,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum
Demand (MW)",Energy Met (MU),"Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",01.01.20
NR,Punjab,6203,0,121.9,55.2,-1.8,97,0.0,01.01.20
,Haryana,6808,0,133.5,77.5,-0.7,174,0.0,01.01.20
,Rajasthan,13128,386,240.2,67.1,0.4,510,0.0,01.01.20
,Delhi,5149,0,85.5,73.1,0.3,285,0.0,01.01.20
,UP,16894,310,311.8,143.0,0.2,491,1.1,01.01.20
,Uttarakhand,2088,0,39.3,26.3,-0.2,133,0.1,01.01.20
,HP,1692,0,30.1,23.7,-0.3,134,0.0,01.01.20
,J&K(UT) and Ladakh(UT),2755,689,54.1,44.1,4.7,552,12.8,01.01.20
,Chandigarh,306,0,4.9,4.7,0.2,46,0.0,01.01.20
WR,Chhattisgarh,3767,0,78.8,27.6,-1.0,435,0.1,01.01.20
,Gujarat,15676,0,316.7,68.5,-2.5,538,0.0,01.01.20
,MP,14498,0,253.6,122.8,-3.9,320,0.0,01.01.20
,Maharashtra,21162,0,419.6,127.0,-1.6,468,0.0,01.01.20
,Goa,508,25,13.7,11.3,1.9,38,0.4,01.01.20
,DD,307,0,6.9,6.4,0.5,46,0.0,01.01.20
,DNH,773,0,18.2,18.3,-0.1,30,0.0,01.01.20
