C.Power Supply Position in States,,,,,,,,Date
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.14
,Rajasthan,6654,0,142.7,42.0,-1.7,195,22.04.14
,Delhi,3484,0,70.7,55.7,-0.8,169,22.04.14
,UP,10925,1955,244.5,103.6,2.2,323,22.04.14
,Uttarakhand,1562,75,31.6,21.5,1.1,88,22.04.14
,HP,1255,0,23.8,11.5,0.6,113,22.04.14
,J&K,1637,100,33.1,19.9,-1.0,95,22.04.14
,Chandigarh,193,0,3.7,3.3,0.4,36,22.04.14
WR,Chhattisgarh,3475,58,79.5,21.5,-0.5,197,22.04.14
,Gujarat,12571,16,257.4,53.3,0.1,390,22.04.14
,MP,6689,15,138.7,71.8,-1.1,337,22.04.14
,Maharashtra,18293,283,397.5,129.0,3.6,509,22.04.14
,Goa,422,1,9.2,8.5,0.3,62,22.04.14
,DD,264,1,5.8,5.9,-0.2,24,22.04.14
,DNH,671,2,15.3,15.2,0.1,42,22.04.14
,Essar steel,391,1,8.2,8.9,-0.7,29,22.04.14
SR,Andhra Pradesh,11307,1000,261.0,90.8,2.7,382,22.04.14
,Karnataka,8801,300,181.6,29.6,2.5,266,22.04.14
,Kerala,3262,75,65.6,25.2,2.0,274,22.04.14
,Tamil Nadu,12369,1345,274.4,93.4,1.3,299,22.04.14
,Pondy,321,0,6.6,6.7,-0.1,22,22.04.14
ER,Bihar,2432,200,48.8,45.2,0.2,250,22.04.14
,DVC,2495,0,57.0,-17.2,-1.2,375,22.04.14
,Jharkhand,861,34,20.4,10.8,0.5,175,22.04.14
,Odisha,3711,0,72.1,20.3,-0.9,395,22.04.14
,West Bengal,7264,53,143.5,47.4,-0.1,345,22.04.14
,Sikkim,104,0,1.2,1.5,-0.3,30,22.04.14
NER,Arunachal Pradesh,104,1,1.6,1.1,0.5,48,22.04.14
,Assam,1120,205,20.6,12.0,4.2,219,22.04.14
,Manipur,100,5,1.6,1.3,0.3,38,22.04.14
,Meghalaya,240,5,3.9,3.0,0.3,43,22.04.14
,Mizoram,72,2,1.0,0.9,-0.1,20,22.04.14
,Nagaland,92,3,1.6,1.4,-0.1,32,22.04.14
,Tripura,225,11,2.9,1.1,-0.5,60,22.04.14
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",22.04.14
NR,Punjab,4518,0,92.0,49.7,0.8,143,22.04.14
,Haryana,5096,261,97.2,59.6,1.4,233,22.04.14
,Rajasthan,6654,0,142.7,42.0,-1.7,195,22.04.14
,Delhi,3484,0,70.7,55.7,-0.8,169,22.04.14
,UP,10925,1955,244.5,103.6,2.2,323,22.04.14
,Uttarakhand,1562,75,31.6,21.5,1.1,88,22.04.14
,HP,1255,0,23.8,11.5,0.6,113,22.04.14
,J&K,1637,100,33.1,19.9,-1.0,95,22.04.14
,Chandigarh,193,0,3.7,3.3,0.4,36,22.04.14
WR,Chhattisgarh,3475,58,79.5,21.5,-0.5,197,22.04.14
,Gujarat,12571,16,257.4,53.3,0.1,390,22.04.14
,MP,6689,15,138.7,71.8,-1.1,337,22.04.14
,Maharashtra,18293,283,397.5,129.0,3.6,509,22.04.14
,Goa,422,1,9.2,8.5,0.3,62,22.04.14
,DD,264,1,5.8,5.9,-0.2,24,22.04.14
,DNH,671,2,15.3,15.2,0.1,42,22.04.14
,Essar steel,391,1,8.2,8.9,-0.7,29,22.04.14
SR,Andhra Pradesh,11307,1000,261.0,90.8,2.7,382,22.04.14
,Karnataka,8801,300,181.6,29.6,2.5,266,22.04.14
,Kerala,3262,75,65.6,25.2,2.0,274,22.04.14
,Tamil Nadu,12369,1345,274.4,93.4,1.3,299,22.04.14
,Pondy,321,0,6.6,6.7,-0.1,22,22.04.14
ER,Bihar,2432,200,48.8,45.2,0.2,250,22.04.14
,DVC,2495,0,57.0,-17.2,-1.2,375,22.04.14
,Jharkhand,861,34,20.4,10.8,0.5,175,22.04.14
,Odisha,3711,0,72.1,20.3,-0.9,395,22.04.14
,West Bengal,7264,53,143.5,47.4,-0.1,345,22.04.14
,Sikkim,104,0,1.2,1.5,-0.3,30,22.04.14
NER,Arunachal Pradesh,104,1,1.6,1.1,0.5,48,22.04.14
,Assam,1120,205,20.6,12.0,4.2,219,22.04.14
,Manipur,100,5,1.6,1.3,0.3,38,22.04.14
,Meghalaya,240,5,3.9,3.0,0.3,43,22.04.14
,Mizoram,72,2,1.0,0.9,-0.1,20,22.04.14
,Nagaland,92,3,1.6,1.4,-0.1,32,22.04.14
,Tripura,225,11,2.9,1.1,-0.5,60,22.04.14
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",22.04.15
NR,Punjab,5372,0,104.1,67.3,-1.0,115,22.04.15
,Haryana,6027,0,113.3,84.7,-1.1,293,22.04.15
,Rajasthan,8015,0,180.5,60.9,-0.6,114,22.04.15
,Delhi,4037,0,84.6,64.2,-0.5,110,22.04.15
,UP,11214,3485,258.5,110.8,-0.5,335,22.04.15
,Uttarakhand,1762,75,35.9,22.5,1.8,151,22.04.15
,HP,1159,0,23.7,11.3,0.2,130,22.04.15
,J&K,1840,368,37.2,23.6,0.1,170,22.04.15
,Chandigarh,227,0,4.6,4.6,0.3,20,22.04.15
WR,Chhattisgarh,3623,0,84.9,33.5,0.1,290,22.04.15
,Gujarat,13877,0,293.0,56.0,0.5,356,22.04.15
,MP,7077,0,145.8,81.2,-1.0,731,22.04.15
,Maharashtra,19666,163,401.9,108.5,3.0,499,22.04.15
,Goa,446,0,8.6,7.1,1.0,86,22.04.15
,DD,294,0,6.3,6.4,-0.1,114,22.04.15
,DNH,728,0,16.3,16.8,0.3,43,22.04.15
,Essar steel,401,0,8.1,7.8,0.3,103,22.04.15
SR,Andhra Pradesh,6416,0,143.8,31.0,1.7,393,22.04.15
,Telangana,6162,300,136.9,85.1,0.7,308,22.04.15
,Karnataka,8460,600,186.3,36.8,2.9,476,22.04.15
,Kerala,2650,40,59.8,40.6,0.2,162,22.04.15
,Tamil Nadu,11640,931,270.4,108.9,-1.2,391,22.04.15
,Pondy,338,0,6.7,7.2,-0.4,56,22.04.15
ER,Bihar,2622,300,51.2,49.1,0.2,300,22.04.15
,DVC,2408,0,58.2,-18.5,-1.5,210,22.04.15
,Jharkhand,1018,0,22.9,10.6,-0.3,80,22.04.15
,Odisha,3480,150,79.5,20.0,1.6,350,22.04.15
,West Bengal,5819,0,144.4,42.7,-1.3,150,22.04.15
,Sikkim,89,0,1.3,1.0,0.3,35,22.04.15
NER,Arunachal Pradesh,90,3,1.0,1.1,-0.2,32,22.04.15
,Assam,1137,192,19.3,12.3,2.5,252,22.04.15
,Manipur,123,7,1.8,1.9,-0.2,32,22.04.15
,Meghalaya,286,2,4.3,3.0,-0.5,53,22.04.15
,Mizoram,34,34,0.2,0.7,-0.5,0,22.04.15
,Nagaland,82,12,1.6,1.3,0.3,25,22.04.15
,Tripura,214,7,3.2,0.7,0.5,42,22.04.15
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",22.04.16
NR,Punjab,5474,0,116.1,61.9,-0.4,191,22.04.16
,Haryana,7206,0,129.4,88.8,-2.0,229,22.04.16
,Rajasthan,8679,0,190.3,51.6,-0.4,163,22.04.16
,Delhi,4653,0,95.0,76.6,-1.7,125,22.04.16
,UP,13613,120,271.4,112.8,1.5,634,22.04.16
,Uttarakhand,1892,0,38.6,26.9,0.7,181,22.04.16
,HP,1203,0,23.7,11.7,1.5,219,22.04.16
,J&K,2006,502,42.9,23.5,2.4,450,22.04.16
,Chandigarh,251,0,5.0,5.0,0.3,33,22.04.16
WR,Chhattisgarh,3816,47,88.2,36.1,-1.4,596,22.04.16
,Gujarat,13622,0,310.6,62.2,0.1,293,22.04.16
,MP,7952,0,178.2,101.7,-2.5,288,22.04.16
,Maharashtra,19854,0,446.0,136.1,-2.9,724,22.04.16
,Goa,462,0,9.8,8.9,0.7,83,22.04.16
,DD,308,0,6.7,6.7,-0.1,35,22.04.16
,DNH,716,0,16.2,16.7,-0.5,57,22.04.16
,Essar steel,586,0,12.0,11.6,0.4,161,22.04.16
SR,Andhra Pradesh,7226,0,160.8,21.1,2.5,560,22.04.16
,Telangana,6480,0,148.1,99.4,1.3,358,22.04.16
,Karnataka,9179,0,210.8,65.0,1.1,445,22.04.16
,Kerala,3884,125,78.0,56.0,1.5,206,22.04.16
,Tamil Nadu,15031,0,338.3,145.0,2.2,601,22.04.16
,Pondy,331,0,7.5,7.8,-0.3,7,22.04.16
ER,Bihar,3402,400,64.6,57.3,2.6,0,22.04.16
,DVC,3155,0,65.8,-34.8,-1.6,0,22.04.16
,Jharkhand,1091,0,24.2,14.8,3.5,0,22.04.16
,Odisha,3627,0,86.2,23.9,2.1,0,22.04.16
,West Bengal,7534,0,161.2,43.0,2.6,0,22.04.16
,Sikkim,88,0,1.1,1.5,-0.4,0,22.04.16
NER,Arunachal Pradesh,102,3,1.7,2.8,-1.1,15,22.04.16
,Assam,967,340,16.3,12.8,-0.2,121,22.04.16
,Manipur,119,5,1.7,2.3,-0.6,29,22.04.16
,Meghalaya,254,0,3.8,0.8,0.2,95,22.04.16
,Mizoram,70,2,1.2,1.4,-0.3,14,22.04.16
,Nagaland,103,1,1.3,1.9,-0.6,29,22.04.16
,Tripura,219,2,3.3,2.9,-0.3,73,22.04.16
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",22.04.17
NR,Punjab,6833,0,136.7,76.1,1.8,242,22.04.17
,Haryana,7125,325,139.5,104.6,0.3,334,22.04.17
,Rajasthan,9440,53,196.8,70.8,2.5,378,22.04.17
,Delhi,5637,0,114.6,93.0,0.0,220,22.04.17
,UP,17332,-2100,350.9,150.3,1.6,489,22.04.17
,Uttarakhand,1895,0,39.3,22.0,-0.3,107,22.04.17
,HP,1207,0,25.6,3.8,-10.2,206,22.04.17
,J&K,1813,453,32.2,16.4,-3.4,222,22.04.17
,Chandigarh,321,0,6.1,6.2,-0.1,28,22.04.17
WR,Chhattisgarh,3878,0,91.6,34.0,-1.4,145,22.04.17
,Gujarat,15458,0,348.5,72.1,-2.9,563,22.04.17
,MP,8466,0,184.7,101.7,-1.1,630,22.04.17
,Maharashtra,21573,0,485.4,165.0,-0.9,485,22.04.17
,Goa,518,0,11.1,9.5,1.0,82,22.04.17
,DD,321,0,7.3,6.9,0.4,33,22.04.17
,DNH,746,0,17.2,16.5,0.7,47,22.04.17
,Essar steel,496,0,10.1,9.5,0.5,192,22.04.17
SR,Andhra Pradesh,7526,0,160.0,27.4,1.0,433,22.04.17
,Telangana,7994,0,168.6,69.6,-0.8,496,22.04.17
,Karnataka,9258,0,204.3,71.1,1.9,278,22.04.17
,Kerala,3648,0,73.6,55.7,1.2,240,22.04.17
,Tamil Nadu,14819,0,321.8,134.3,-1.4,811,22.04.17
,Pondy,352,0,7.8,8.1,-0.3,42,22.04.17
ER,Bihar,3836,100,69.1,69.2,-1.0,385,22.04.17
,DVC,2925,0,66.4,-35.4,-1.3,365,22.04.17
,Jharkhand,1145,0,24.8,16.8,2.4,225,22.04.17
,Odisha,4240,0,83.6,23.2,0.7,402,22.04.17
,West Bengal,8359,0,153.3,37.1,3.0,439,22.04.17
,Sikkim,73,0,1.2,0.8,0.4,25,22.04.17
NER,Arunachal Pradesh,86,3,2.0,1.6,0.5,35,22.04.17
,Assam,1348,39,22.2,16.4,2.3,185,22.04.17
,Manipur,146,1,2.3,2.0,0.3,19,22.04.17
,Meghalaya,258,0,4.2,2.7,-0.6,21,22.04.17
,Mizoram,79,0,1.5,1.1,0.4,25,22.04.17
,Nagaland,99,1,2.1,1.8,0.0,14,22.04.17
,Tripura,147,36,2.4,1.6,-1.3,47,22.04.17
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum
Demand (MW)",Energy Met (MU),"Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",22.04.18
,Punjab,5643,0,109.5,43.8,-0.4,123,0.0,22.04.18
,Haryana,6739,0,125.4,60.0,2.0,238,0.1,22.04.18
,Rajasthan,8967,0,194.6,65.9,0.7,502,0.0,22.04.18
,Delhi,4195,0,88.3,71.6,-1.4,195,0.2,22.04.18
NR,UP,16181,0,333.7,113.3,2.0,753,0.0,22.04.18
,Uttarakhand,1800,0,37.1,21.1,1.2,226,0.1,22.04.18
,HP,1289,0,24.0,15.6,0.8,106,0.0,22.04.18
,J&K,1920,480,40.6,30.3,-2.0,331,9.6,22.04.18
,Chandigarh,187,0,3.9,4.0,-0.1,37,0.0,22.04.18
WR,Chhattisgarh,3842,0,88.5,29.3,-2.0,105,0.0,22.04.18
,Gujarat,15427,0,348.9,180.5,3.9,337,0.0,22.04.18
,MP,8848,0,190.3,96.1,-2.0,240,0.0,22.04.18
,Maharashtra,22835,0,498.0,131.5,-1.8,314,0.0,22.04.18
,Goa,533,0,12.0,11.4,-0.1,39,0.0,22.04.18
,DD,328,0,7.4,6.5,0.9,106,0.0,22.04.18
,DNH,756,0,17.7,16.8,0.8,98,0.0,22.04.18
,Essar steel,157,0,2.8,2.3,0.5,163,0.0,22.04.18
SR,Andhra Pradesh,8890,0,185.0,62.9,1.9,420,0.0,22.04.18
,Telangana,8173,0,176.2,66.5,-1.9,279,0.0,22.04.18
,Karnataka,9900,0,212.9,65.4,-0.8,350,0.0,22.04.18
,Kerala,3595,0,77.6,51.3,1.2,190,0.0,22.04.18
,Tamil Nadu,14807,0,339.4,168.5,2.8,430,0.0,22.04.18
,Pondy,376,0,8.3,8.2,0.1,30,0.0,22.04.18
,Bihar,4698,0,89.4,86.9,-0.3,350,0.0,22.04.18
,DVC,3089,0,68.6,-54.4,3.8,450,0.0,22.04.18
ER,Jharkhand,1131,0,22.7,15.9,0.7,350,0.0,22.04.18
,Odisha,4297,0,85.5,30.7,-1.3,220,0.0,22.04.18
,West Bengal,8050,0,168.6,54.5,1.3,300,0.0,22.04.18
,Sikkim,89,0,1.2,1.5,-0.3,10,0.0,22.04.18
NER,Arunachal Pradesh,110,3,2.1,2.0,0.2,45,0.0,22.04.18
,Assam,1371,93,19.3,16.7,-0.1,75,1.6,22.04.18
,Manipur,151,4,2.1,2.4,-0.4,33,0.0,22.04.18
,Meghalaya,297,0,4.9,3.1,-0.1,44,0.0,22.04.18
,Mizoram,84,1,1.3,1.3,-0.1,32,0.0,22.04.18
,Nagaland,125,3,1.9,1.9,-0.1,25,0.0,22.04.18
,Tripura,152,6,3.3,2.8,-0.2,53,0.1,22.04.18
"D. Transnational Exchanges (MU) - Import(+ve)/Export(-ve)
Bhutan Nepal Bangladesh
Actual(MU) 6.5 -10.3 -13.9
Day peak (MW) 357.4 -495.7 -613.8
E. Import/export By Regions(in MU) - Import(+ve)/Export(-ve); OD(+)/UD(-)
NR WR SR ER NER TOTAL
Schedule(MU) 177.7 -204.5 88.5 -63.9 3.7 1.5
Actual(MU) 183.8 -218.4 90.8 -57.4 0.1 -1.2
O/D/U/D(MU) 6.0 -14.0 2.3 6.5 -3.6 -2.7
F. Generation Outage(MW)
NR WR SR ER NER Total
Central Sector 6738 12006 7252 1540 155 27690
State Sector 8890 15769 4600 5245 50 34554
Total 15628 27775 11852 6785 204 62244
G. Sourcewise generation (MU)
NR WR SR ER NER Total
Thermal (Coal & Lignite) 566 1206 649 472 7 2900
Hydro 118 35 72 48 8 281
Nuclear 23 31 46 0 0 100
Gas, Naptha & Diesel 34 59 21 0 23 136
RES (Wind, Solar, Biomass & Others) 54 64 135 2 0 255
Total 795 1395 923 522 38 3673
*Source: RLDCs for solar connected to ISTS; SLDCs for embedded solar. Limited visibility of embedded solar data.
सचिव(ऊर्जा)/सयं क्तु सचिव(पजरेषण)/(ओ एम)/चिदेशक(ओ एम)/मख्ु य अचियतं ज-के०चव०प्रज०(चि०प्र०)/
मख्ु य कजयापजलक अचिकजरी(पोसोको)/सिी रजज्यो के मख्ु य सचिव/ऊर्जा सचिव
महाप्रबधं क (रा० भा० प्रे० के०)",,,,,,,,,22.04.18
Region,FVI,<49.7,49.7-49.8,49.8-49.9,<49.9,49.9-50.05,> 50.05,,22.04.19
All India,0.037,0.00,0.61,5.64,6.25,75.78,17.97,,22.04.19
C. Power Supply Position in States,,,,,,,,,22.04.19
Region,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum
Demand (MW)",Energy Met (MU),"Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",22.04.19
,Punjab,5347,0,108.5,40.5,-1.2,39,0.0,22.04.19
,Haryana,6041,0,110.9,79.1,0.0,145,0.0,22.04.19
,Rajasthan,8610,0,190.4,58.5,-2.2,474,0.0,22.04.19
,Delhi,3843,0,79.2,64.2,-0.7,81,0.0,22.04.19
NR,UP,16696,0,320.3,147.2,0.9,620,3.0,22.04.19
,Uttarakhand,1601,0,35.2,14.2,-0.4,85,0.0,22.04.19
,HP,1183,0,22.5,5.9,-0.6,90,0.0,22.04.19
,J&K,1989,497,43.0,26.9,-1.4,153,10.6,22.04.19
,Chandigarh,174,0,3.3,3.9,-0.7,208,0.0,22.04.19
WR,Chhattisgarh,4229,0,95.9,41.2,-4.0,358,0.0,22.04.19
,Gujarat,15949,0,363.6,117.1,2.7,530,0.0,22.04.19
,MP,9092,0,201.3,92.7,-0.1,458,0.0,22.04.19
,Maharashtra,20666,0,468.5,144.8,-3.1,423,0.0,22.04.19
,Goa,515,0,0.0,10.1,0.2,36,0.0,22.04.19
,DD,321,0,7.3,7.0,0.3,35,0.0,22.04.19
,DNH,784,0,18.5,18.4,0.1,62,0.0,22.04.19
,Essar steel,5804,0,0.0,5.7,0.0,308,0.0,22.04.19
SR,Andhra Pradesh,8227,0,178.1,60.3,-0.5,480,0.0,22.04.19
,Telangana,7522,0,164.6,75.6,-2.1,531,0.0,22.04.19
,Karnataka,10401,0,216.0,66.9,0.5,477,0.0,22.04.19
,Kerala,3634,0,69.5,55.1,1.1,217,0.0,22.04.19
,Tamil Nadu,12999,0,304.2,172.6,-0.7,536,0.0,22.04.19
,Pondy,399,0,8.4,8.5,-0.2,41,0.0,22.04.19
ER,Bihar,4927,0,92.3,86.6,0.3,250,0.0,22.04.19
,DVC,3180,0,68.1,-44.0,-0.8,90,0.0,22.04.19
,Jharkhand,999,0,21.1,11.7,-0.7,100,0.0,22.04.19
,Odisha,3859,0,80.9,26.4,0.7,400,0.0,22.04.19
,West Bengal,8097,0,155.0,35.6,1.7,350,0.0,22.04.19
,Sikkim,80,0,1.0,1.0,0.0,35,0.0,22.04.19
,Arunachal Pradesh,111,2,2.1,2.4,-0.3,28,0.0,22.04.19
,Assam,1352,52,22.9,19.1,0.6,120,2.0,22.04.19
NER,Manipur,173,1,2.2,1.9,0.3,30,0.0,22.04.19
,Meghalaya,290,0,5.2,3.1,0.2,37,0.4,22.04.19
,Mizoram,97,2,1.8,1.3,0.3,20,0.0,22.04.19
,Nagaland,125,3,2.1,1.9,0.2,18,0.0,22.04.19
,Tripura,272,3,4.3,4.1,0.4,80,0.0,22.04.19
"D. Transnational Exchanges (MU) - Import(+ve)/Export(-ve)
Bhutan Nepal Bangladesh
Actual(MU) 5.3 -9.7 -23.0
Day peak (MW) 416.5 -567.0 -1137.0
E. Import/export By Regions(in MU) - Import(+ve)/Export(-ve); OD(+)/UD(-)
NR WR SR ER NER TOTAL
Schedule(MU) 150.2 -236.6 146.8 -60.7 -1.2 -1.6
Actual(MU) 144.4 -244.7 153.2 -54.9 -0.1 -2.1
O/D/U/D(MU) -5.8 -8.1 6.4 5.9 1.1 -0.5
F. Generation Outage(MW)
NR WR SR ER NER Total
Central Sector 5475 13217 7102 1310 472 27576
State Sector 12145 14309 5920 2385 50 34809
Total 17620 27526 13022 3695 522 62385
G. Sourcewise generation (MU)
NR WR SR ER NER All India
Coal 448 1213 487 459 11 2617
Lignite 15 17 51 0 0 83
Hydro 200 34 55 43 5 336
Nuclear 28 29 37 0 0 94
Gas, Naptha & Diesel 30 47 16 0 29 121
RES (Wind, Solar, Biomass & Others) 69 86 151 2 0 309
Total 790 1425 796 503 45 3560
Share of RES in total generation (%) 8.77 6.05 18.99 0.41 0.11 8.68
Share of Non-fossil fuel (Hydro, Nuclear and
37.65 10.51 30.48 8.86 11.01 20.77
RES) in total generation (%)
H. Diversity Factor
All India Demand Diversity Factor 1.048
Diversity factor = Sum of regional maximum demands / All India maximum demand
*Source: RLDCs for solar connected to ISTS; SLDCs for embedded solar. Limited visibility of embedded solar data.
कार्पय ालक निदेशक (रा० भा० प्रे० के०)",,,,,,,,,22.04.19
NR,Punjab,4230,0,81.2,55.3,-0.5,160,0.0,22.04.20
,Haryana,5331,0,89.7,81.6,1.0,235,0.0,22.04.20
,Rajasthan,8441,0,171.0,62.6,-1.1,349,0.0,22.04.20
,Delhi,2876,0,58.6,48.2,-1.6,30,0.0,22.04.20
,UP,15897,0,283.0,121.8,2.3,407,1.2,22.04.20
,Uttarakhand,1191,0,23.1,7.5,0.4,153,0.0,22.04.20
,HP,846,0,14.4,-1.4,0.6,150,0.2,22.04.20
,J&K(UT) & Ladakh(UT),2215,554,45.9,34.3,2.1,442,10.9,22.04.20
,Chandigarh,137,0,2.6,2.7,-0.2,14,0.0,22.04.20
WR,Chhattisgarh,3216,0,75.1,19.0,-1.1,450,0.0,22.04.20
,Gujarat,12210,0,275.8,75.2,1.9,737,0.0,22.04.20
,MP,8887,0,189.3,118.3,-1.9,470,0.0,22.04.20
,Maharashtra,18222,0,405.7,152.2,1.3,447,0.0,22.04.20
,Goa,406,0,8.6,8.5,-0.1,52,0.0,22.04.20
,DD,126,0,2.7,2.7,0.0,19,0.0,22.04.20
,DNH,141,0,3.2,3.2,0.1,21,0.0,22.04.20
,AMNSIL,304,0,1.1,1.0,0.2,137,0.0,22.04.20
SR,Andhra Pradesh,8387,0,170.1,94.4,-1.4,241,0.0,22.04.20
,Telangana,6830,0,142.4,59.1,-0.2,426,0.0,22.04.20
,Karnataka,10374,0,207.9,64.0,-1.9,386,0.0,22.04.20
,Kerala,3567,0,70.7,47.7,0.5,193,0.0,22.04.20
,Tamil Nadu,11365,0,260.5,179.8,0.7,548,0.0,22.04.20
,Puducherry,290,0,5.8,6.0,-0.2,27,0.0,22.04.20
ER,Bihar,4312,0,72.8,71.9,0.1,270,0.0,22.04.20
,DVC,1460,0,29.2,-20.3,0.2,230,0.0,22.04.20
,Jharkhand,1450,0,20.6,14.3,-1.0,280,0.0,22.04.20
,Odisha,3369,0,63.6,-0.9,-0.6,200,0.0,22.04.20
,West Bengal,5472,0,95.1,33.4,1.7,335,0.0,22.04.20
,Sikkim,106,0,1.4,1.6,-0.1,25,0.0,22.04.20
NER,Arunachal Pradesh,105,2,1.4,1.0,0.3,24,0.0,22.04.20
,Assam,1218,196,14.3,13.1,-1.7,108,3.1,22.04.20
,Manipur,156,3,2.3,2.1,0.2,43,0.0,22.04.20
,Meghalaya,254,0,4.0,1.9,-0.3,31,0.1,22.04.20
,Mizoram,86,2,1.4,1.3,0.0,17,0.0,22.04.20
,Nagaland,112,1,2.0,1.6,0.2,11,0.0,22.04.20
,Tripura,212,23,3.3,2.2,-0.4,35,0.0,22.04.20
Region,States,"Max.Demand
Metduringthe
day(MW)","Shortageduring
maximum
Demand(MW)","EnergyMet
(MU)","Drawal
Schedule
(MU)","OD(+)/UD(-)
(MU)","MaxOD
(MW)","Energy
Shortage
(MU)",22.04.21
NR,Punjab,5588,0,118.4,63.1,-1.9,94,0.00,22.04.21
,Haryana,6951,0,132.5,97.8,-0.2,179,0.00,22.04.21
,Rajasthan,10151,0,210.5,55.0,-2.2,518,0.00,22.04.21
,Delhi,2986,0,64.5,50.0,-1.8,45,0.00,22.04.21
,UP,17500,520,297.9,94.0,-1.0,1058,0.00,22.04.21
,Uttarakhand,1708,0,34.5,19.7,-1.5,129,0.00,22.04.21
,HP,1381,0,26.5,13.7,-1.0,49,0.01,22.04.21
,J&K(UT)&Ladakh(UT),2439,350,51.3,39.1,0.6,302,6.40,22.04.21
,Chandigarh,168,0,3.3,3.8,-0.5,0,0.00,22.04.21
WR,Chhattisgarh,4351,0,103.3,38.2,-0.3,155,0.00,22.04.21
,Gujarat,18194,0,392.2,109.4,-1.1,587,0.00,22.04.21
,MP,10127,0,227.2,129.3,-1.7,693,0.00,22.04.21
,Maharashtra,24043,0,541.2,187.7,-4.4,623,0.00,22.04.21
,Goa,551,0,11.2,12.0,-1.3,37,0.00,22.04.21
,DD,314,0,7.1,7.2,-0.1,14,0.00,22.04.21
,DNH,777,0,18.1,18.1,0.0,34,0.00,22.04.21
,AMNSIL,764,0,17.2,2.4,0.3,236,0.00,22.04.21
SR,AndhraPradesh,10027,0,205.0,99.7,0.5,487,0.00,22.04.21
,Telangana,9554,0,193.0,86.5,-1.0,446,0.00,22.04.21
,Karnataka,11655,0,227.0,64.5,-0.1,625,0.00,22.04.21
,Kerala,3848,0,80.8,57.1,0.5,208,0.00,22.04.21
,TamilNadu,15827,0,354.4,244.8,0.4,846,0.00,22.04.21
,Puducherry,449,0,9.5,9.6,-0.1,30,0.00,22.04.21
ER,Bihar,5145,0,95.9,88.3,-0.3,396,0.00,22.04.21
,DVC,3136,0,69.0,-52.3,-0.1,568,0.00,22.04.21
,Jharkhand,1577,0,26.2,21.2,-3.2,150,0.00,22.04.21
,Odisha,5407,0,108.3,50.9,-1.5,373,0.00,22.04.21
,WestBengal,7978,0,150.7,29.2,-1.7,250,0.00,22.04.21
,Sikkim,64,0,0.9,1.6,-0.7,0,0.00,22.04.21
NER,ArunachalPradesh,138,3,2.0,2.0,-0.0,103,0.01,22.04.21
,Assam,1612,3,27.0,24.2,0.9,211,1.50,22.04.21
,Manipur,193,2,2.5,2.6,-0.1,19,0.01,22.04.21
,Meghalaya,335,0,5.7,2.9,0.2,207,0.00,22.04.21
,Mizoram,107,3,1.5,1.4,0.1,28,0.01,22.04.21
,Nagaland,131,7,2.1,1.7,0.4,41,0.01,22.04.21
,Tripura,287,2,4.8,4.4,0.9,97,0.03,22.04.21
,,,,,,,,,22.04.21
NR,Punjab,7802,0,165.9,65.8,-2.0,172,0.00,22.04.22
,Haryana,7156,493,152.7,86.1,-0.8,206,6.72,22.04.22
,Rajasthan,12192,557,252.6,62.9,-0.2,358,26.81,22.04.22
,Delhi,5310,0,98.4,93.1,-1.8,233,0.00,22.04.22
,UP,18842,0,425.8,171.6,0.4,897,5.35,22.04.22
,Uttarakhand,2051,75,40.0,23.6,0.0,251,4.63,22.04.22
,HP,1592,0,32.0,12.3,3.5,547,1.56,22.04.22
,J&K(UT) & Ladakh(UT),2074,220,40.6,28.3,-0.3,128,4.74,22.04.22
,Chandigarh,239,0,4.8,5.0,-0.2,29,0.00,22.04.22
WR,Chhattisgarh,4835,0,100.0,46.4,-2.8,376,0.00,22.04.22
,Gujarat,20227,0,436.1,205.9,1.1,751,0.00,22.04.22
,MP,11384,0,259.6,140.7,1.9,683,20.42,22.04.22
,Maharashtra,27834,1021,602.8,201.2,0.8,1070,11.23,22.04.22
,Goa,687,0,15.3,14.4,0.4,51,0.01,22.04.22
,DD,351,0,8.0,7.8,0.2,27,0.00,22.04.22
